auction_id,"Seller ID","Seller Name","Seller DBA","Seller Address","Seller City","Seller State","Seller Zip","Seller Contact","Seller Phone","Buyer ID","Buyer Name","Buyer DBA","Buyer Address","Buyer City","Buyer State","Buyer Zip","Buyer Contact","Buyer Phone","Price Charged to Customer",VIN,"Vehicle Year","Vehicle Make","Vehicle Model","Vehicle Trim","Vehicle Class","Green Light","Payment Status","Pickup Slip Released","Does not Run","Starts and Dies","Fails to Move Forward or Reverse","Transmission Problem","4WD/Drivetrain Problem"
214430,6350,"Sandy Sansing Brookhaven LLC","Toyota of Brookhaven","890 Brookway Blvd",Brookhaven,MS,39601,"Prentiss Smith",601-823-7000,12282,"Harris Imports",,"4420 Government St",Mobile,AL,36693,"Alsie Harris",251-725-7330,200.0,2GTEC19T7X1520825,1999,GMC,Sierra,SLE,Pickup,0.0,ta_on_file,1,0,0,0,0,0
270471,4308,"ACV Auto",ACV,"For Pick up location please call 1-800-553-4070 option 6",Buffalo,NY,14203,"Jill Kazmierczak",716-418-8684,14145,"J and A Auto Center",,"211 Broadway St",Raynham,MA,02767,"Jason El Daccache",978-376-0067,575.0,JTEHH20V130191382,2003,Toyota,Rav4,Base,"Small Crossover/SUV",1.0,pending,0,0,0,0,1,0
274519,7242,"Courtesy Oldsmobile, Inc.","Jim Shorkey Auto Group","470 Arctic Street",Mckeesport,PA,15132,"Mike Opel",,17025,"Prime Honda",,"1575 VFW Parkway","West Roxbury",MA,02132,"Mark Hoch",6174697100,700.0,1FAHP2KT5AG101048,2010,Ford,Taurus,SHO,"Full-Size Car",1.0,picked_up,0,0,0,0,0,0
298845,161,"Towne Chrysler Dodge Jeep, Inc.",,"5130 Camp Road",Hamburg,NY,14075,"Mike Roeder",716-646-5200,15138,"Volkswagen of Orland Park",,"8920 West 159th Street","Orland Park",IL,60462,"Matt Huckstadt",708-428-5000,650.0,1C6RR7LGXGS357772,2016,Ram,1500,SLT,Pickup,1.0,pending,0,0,0,0,0,0
313842,4459,"Williams Toyota of Elmira (Vehicle Pickup @ J&R)",,"498 Glenmary Drive",Owego,NY,13831,"James Oppedisano","570-396-3810 Jess (J&R)",14063,"CarSoldier LLC",,"PO BOX 193",Oriskany,NY,13424,"Colin Smith",3154640636,125.0,1G6KD54Y7WU796213,1998,Cadillac,DeVille,Base,other,1.0,pending,0,0,0,0,0,0
318066,4879,"Haldeman Ford, Inc.","Haldeman Ford Subaru","607 NJ Highway 33",Trenton,NJ,08619,"Tim Lorang",609-586-7600,19150,"Great Bridge Auto Sales Corporation","Wine Automotive","343 North Battlefield Blvd, Suite 100",Chesapeake,VA,23320,"Jeffrey M. Wine",757-373-3693,225.0,WDBWK54F37F168544,2007,Mercedes-Benz,"SLK Class",SLK280,"Sporty Car",1.0,to_be_floored,1,0,0,0,0,0
317303,1134,"Albany B, LLC","BMW of South Albany","617 Route 9 West",Glenmont,NY,12077,"Kody Caulfield",518-463-3141,11360,"Mainstream Motors, LLC",,"559 Main St, Unit A",Plymouth,CT,06782,"Samy Ahmad",860-845-5252,100.0,1J4GA59177L121275,2007,Jeep,Wrangler,"Unlimited Sahara","Small Crossover/SUV",1.0,pending,0,0,0,0,0,0
317026,9136,"Pine Belt Enterprises, Inc.",,"1088 Route 88/ Ocean Ave",Lakewood,NJ,08701,"Shawn Maloney",732-523-5314,5750,"International Recovery Service, Inc.","500 Drive Now","6824 Frankford Avenue",Philadelphia,PA,19135,"Larry Laken",215-333-8800,100.0,YV4CZ982081435228,2008,Volvo,XC90,,"Large Luxury Crossover/SUV",1.0,,0,0,0,0,0,0
323441,2906,"Reydel Volkswagen",,"2034 Lincoln Highway",Edison,NJ,08817,"Mohamed Elkholy","732-287-2828-ASK FOR MOE",17168,"Glenside Auto Sales Company Inc",,"20 West Glenside Ave",Glenside,PA,19038,"Benjamin Catanese",215-884-4900,150.0,3VW1K7AJ2BM386870,2011,Volkswagen,Jetta,Base,"Small Car",1.0,pending,0,0,0,0,0,0
328685,4558,"Liberty Automotive, LTD","Liberty Toyota","4397 Route 130 South",Burlington,NJ,08016,"Rodney Bohler","609-386-6300 ext. 6413",10184,"Evergreen Subaru",,"774 Center Street",Auburn,ME,04210,"Christopher Dunn",207-786-8500,600.0,4S4BSAAC8F3224041,2015,Subaru,Outback,Base,"Large Crossover/SUV",1.0,to_be_floored,1,0,0,0,0,0
329918,4841,"Circle Chevrolet Co.","Circle Chevrolet","641 Shrewsbury Avenue",Shrewsbury,NJ,07702,"Scott Spadafora",732-741-3130,7651,"Top Gun Auto Body, LLC",,"7002 Tonnelle Avenue","North Bergen",NJ,07047,"Joseph Rivera",201-430-8747,125.0,2CNALPEW2A6246151,2010,Chevrolet,Equinox,LT,"Small Crossover/SUV",1.0,pending,0,0,0,0,0,0
331472,520,"Depaula Chevrolet, Inc.",,"1 Fairfield Ave",Albany,NY,12205,"Shawn Townsend","518-281-4413 (Shawn)",7651,"Top Gun Auto Body, LLC",,"7002 Tonnelle Avenue","North Bergen",NJ,07047,"Joseph Rivera",201-430-8747,275.0,JHMCP26749C016141,2009,Honda,Accord,EX,"Mid-Size Car",1.0,pending,0,0,0,0,0,0
307554,9176,"Lithia Orchard Park-H LLC","Lithia Honda ","3590 Southwestern Blvd","Orchard Park",NY,14127,"Clayton Fanning","(716) 778-2142",12836,"Elite Motor Cars",,"14609 miles ave",Cleveland,OH,44128,"Antonio Herrod",216-299-3898,325.0,1FAHP3F21CL131505,2012,Ford,Focus,SE,"Small Car",1.0,paid,1,0,0,0,0,0
339698,12004,"Somerset Motors Partnership","Lexus of Bridgewater","1550 Route 22 East",Bridgewater,NJ,08807,"Justin Wainwright",732-271-4000,17246,"JAH Motorsport Corp.",,"1870 Kuser Road",Trenton,NJ,08690,"Jose L. Heredia",609-249-4910,125.0,JTEES43A682032443,2008,Toyota,Highlander,Sport,"Large Crossover/SUV",1.0,pending,0,0,0,0,0,0
340185,17839,"Pacifico Ford, Inc.",,"6701 Essington Ave.",Philadelphia,PA,19153,"Jim Solomon",215-492-1700,17246,"JAH Motorsport Corp.",,"1870 Kuser Road",Trenton,NJ,08690,"Jose L. Heredia",609-249-4910,100.0,1FAHP2EW8BG106350,2011,Ford,Taurus,SEL,"Full-Size Car",1.0,pending,0,0,0,0,0,0
340442,4308,"ACV Auto",ACV,"For Pick up location please call 1-800-553-4070 option 6",Buffalo,NY,14203,"Jill Kazmierczak",716-418-8684,17246,"JAH Motorsport Corp.",,"1870 Kuser Road",Trenton,NJ,08690,"Jose L. Heredia",609-249-4910,575.0,5FNYF5H14GB019464,2016,Honda,Pilot,LX,"Large Crossover/SUV",1.0,pending,0,0,0,0,1,0
341738,17839,"Pacifico Ford, Inc.",,"6701 Essington Ave.",Philadelphia,PA,19153,"Jim Solomon",215-492-1700,3215,"Sho Case Auto, LLC","Sho Case Auto","556 RT 36",Belford,NJ,07718,"Arthur Liviev",908-692-0857,200.0,4T3ZK11A19U017851,2009,Toyota,Venza,,"Large Crossover/SUV",1.0,paid,1,0,0,0,0,0
343148,649,"Robert Basil, Inc","Robert Basil Buick GMC Cadillac","3475 Southwestern Blvd","Orchard Park",NY,14127,"Jeff Buck",716-667-2000,17783,"Steinle Chevrolet Buick",,"1014 East McPherson Highway",Clyde,OH,43410,"Brad Meade",419-547-9483,400.0,1GT120CG6BF225756,2011,GMC,"Sierra 2500",SLE,Pickup,1.0,paid,1,0,0,0,0,0
343894,13802,"LaFontaine CDJR of Fenton, Inc.","LaFontaine Used Car King","16555 Silver Parkway",Fenton,MI,48430,"Matt Jury",810-208-4822,4166,"Phil Steinle Chevrolet Buick, Inc.",,"2205 Hayes Ave",Sandusky,OH,44870,"Phil Steinle Jr",419-625-7000,275.0,1J8GR48K97C688616,2007,Jeep,"Grand Cherokee",Laredo,"Large Crossover/SUV",1.0,pending,0,0,0,0,0,0
344457,5904,"Danbury Auto Partnership","Honda of Danbury","102 Federal Road",Danbury,CT,06810,"Todd Lemay (Honda of Danbury)",203-730-5699,4166,"Phil Steinle Chevrolet Buick, Inc.",,"2205 Hayes Ave",Sandusky,OH,44870,"Phil Steinle Jr",419-625-7000,725.0,2FMDK49C18BA90393,2008,Ford,Edge,Limited,"Large Crossover/SUV",1.0,pending,0,0,0,0,0,0
345229,5265,"Tony Domiano Auto Dealerships Inc","Tony Domiano Chrysler Jeep Dodge","940 Scranton Carbondale Highway",Archbald,PA,18403,"Tony Domiano Jr.",570-876-6000,10556,"Edison Auto Sales","Edison Nissan","401 Route 1 South",Edison,NJ,08817,"Samuel Moncayo",732-867-0400,250.0,2C3CDXGJ6JH332289,2018,Dodge,Charger,"R/T 392","Full-Size Car",1.0,pending,0,0,0,0,0,0
347303,2179,"Cortland Chrysler Dodge Jeep, Inc.",,"3878 West Road",Cortland,NY,13045,"Jeffery Geiger",315-930-4680,10184,"Evergreen Subaru",,"774 Center Street",Auburn,ME,04210,"Christopher Dunn",207-786-8500,600.0,WAUF2AFC9EN140860,2014,Audi,S6,Prestige,"Luxury Car",1.0,to_be_floored,0,0,0,0,0,0
